v8-version,5,1,281,111,0
code-creation,CallIC,12,0x2b1e55a10360,113,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a103e0,356,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a10560,184,"DoubleToIStub"
code-creation,Stub,3,0x2b1e55a10620,507,"NumberToStringStub"
code-creation,Stub,3,0x2b1e55a10820,182,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a108e0,204,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a109c0,244,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a10ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a10b80,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a10d40,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a10dc0,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a10f20,791,"FastNewClosureStub"
code-creation,Stub,3,0x2b1e55a11240,2410,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a11bc0,2406,"RecordWriteStub"
code-creation,CallIC,12,0x2b1e55a12540,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a125c0,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x2b1e55a127a0,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x2b1e55a128a0,151,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a12940,575,"FastNewContextStub"
code-creation,Stub,3,0x2b1e55a12b80,523,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a12da0,471,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a12f80,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a130e0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a13160,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a131e0,320,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a13320,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x2b1e55a13800,363,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a13980,447,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a13b40,443,"BinaryOpICStub"
code-creation,CallIC,12,0x2b1e55a13d00,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a13d80,464,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a13f60,447,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a14120,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a141a0,276,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a142c0,188,"DoubleToIStub"
code-creation,Stub,3,0x2b1e55a14380,419,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a14540,244,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a14640,385,"JSEntryStub"
code-creation,Stub,3,0x2b1e55a147e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x2b1e55a14fa0,2406,"RecordWriteStub"
code-creation,Stub,15,0x2b1e55a15920,276,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a15a40,320,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a15b80,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a15c00,407,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a15da0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a15e20,356,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a15fa0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a16020,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a160a0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a16120,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a161a0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a16220,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a162a0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x2b1e55a16480,333,"ArrayConstructorStub"
code-creation,Stub,3,0x2b1e55a165e0,790,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a16900,2425,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a17280,798,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a175a0,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a17800,595,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a17a60,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a17cc0,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a17f20,587,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a18180,579,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a183e0,539,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a18600,320,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a18740,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a187c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a18840,204,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a18920,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a189a0,447,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a18b60,204,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a18c40,204,"BinaryOpICStub"
code-creation,Stub,17,0x2b1e55a18d20,216,"ToBooleanICStub"
code-creation,Handler,4,0x2b1e55a18e00,112,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a18e80,927,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a19220,419,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a193e0,120,"An IC handler from the snapshot"
code-creation,Stub,16,0x2b1e55a19460,194,"CompareICStub"
code-creation,Handler,4,0x2b1e55a19540,348,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a196a0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a19720,212,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a19800,224,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a198e0,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a19960,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,15,0x2b1e55a199e0,204,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a19ac0,1529,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a1a0c0,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,0x2b1e55a1a320,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1a3a0,240,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1a4a0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a1a520,734,"ToLengthStub"
code-creation,Stub,3,0x2b1e55a1a800,145,"NonNumberToNumberStub"
code-creation,Stub,3,0x2b1e55a1a8a0,1503,"RecordWriteStub"
code-creation,Stub,15,0x2b1e55a1ae80,276,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1afa0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1b020,180,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1b0e0,151,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a1b180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,CallIC,12,0x2b1e55a1b380,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a1b400,464,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a1b5e0,415,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1b780,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1b800,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a1bbc0,188,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a1bc80,467,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a1be60,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x2b1e55a1c460,514,"A load IC from the snapshot"
code-creation,Handler,4,0x2b1e55a1c680,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1c700,467,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a1c8e0,415,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1ca80,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1cb00,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x2b1e55a1cc20,172,"CompareICStub"
code-creation,Stub,15,0x2b1e55a1cce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1cea0,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1cf20,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1d0e0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a1d160,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a1d320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1d3a0,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a1d440,791,"FastNewClosureStub"
code-creation,Stub,17,0x2b1e55a1d760,150,"ToBooleanICStub"
code-creation,Stub,3,0x2b1e55a1d800,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x2b1e55a1d8e0,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a1dae0,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a1dd40,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x2b1e55a1df40,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a1dfc0,116,"An IC handler from the snapshot"
